"","reads.in","reads.out","",""
"ERR2969443.fastq",9761,9557,9240,8792
"ERR2969444.fastq",12943,12453,12153,10946
"ERR2969445.fastq",9342,9142,9012,7659
"ERR2969446.fastq",30948,30158,29578,25227
"ERR2969447.fastq",21478,21071,20859,18359
"ERR2969448.fastq",12617,12310,11981,10820
"ERR2969449.fastq",8789,8600,8552,8159
"ERR2969450.fastq",30133,29356,28992,23377
"ERR2969451.fastq",18406,18011,17709,15641
"ERR2969452.fastq",15461,15079,14514,11933
"ERR2969453.fastq",7551,7393,7253,6718
"ERR2969454.fastq",27414,26808,26449,21291
"ERR2969455.fastq",21175,20737,20519,18202
"ERR2969456.fastq",5476,5362,5090,4996
"ERR2969457.fastq",5896,5759,5650,5480
"ERR2969458.fastq",29663,29066,28779,17809
"ERR2969459.fastq",25159,24661,24397,18188
"ERR2969460.fastq",20886,20418,19693,16252
"ERR2969461.fastq",23386,22936,22664,20093
"ERR2969462.fastq",31466,30806,30332,28364
"ERR2969463.fastq",14491,14145,13753,12759
"ERR2969464.fastq",7136,6988,6799,6534
"ERR2969465.fastq",20241,19733,19453,17342
"ERR2969466.fastq",18337,17968,17652,16149
"ERR2969467.fastq",18112,17674,17241,15531
"ERR2969468.fastq",26970,26314,25929,22049
"ERR2969469.fastq",26648,26061,25528,20089
"ERR2969470.fastq",16318,15969,15434,14288
"ERR2969471.fastq",16124,15770,15508,14620
"ERR2969472.fastq",23081,22527,22326,20251
"ERR2969473.fastq",26515,25970,25613,21563
"ERR2969474.fastq",26244,25759,25132,21615
"ERR2969475.fastq",20977,20515,20046,17236
"ERR2969476.fastq",4853,4744,4522,4278
"ERR2969477.fastq",10060,9815,9572,9256
"ERR2969478.fastq",8706,8513,8225,8115
"ERR2969479.fastq",11336,11106,10758,10067
"ERR2969480.fastq",8624,8417,8291,7413
"ERR2969481.fastq",31933,31092,30713,26711
"ERR2969482.fastq",10648,10423,10188,9668
"ERR2969483.fastq",7714,7532,7245,6403
"ERR2969484.fastq",21027,20553,20391,18611
"ERR2969485.fastq",16334,15949,15623,14592
"ERR2969486.fastq",25831,25214,24457,21247
"ERR2969487.fastq",6614,6475,6308,5110
"ERR2969488.fastq",44216,43235,42523,30238
"ERR2969489.fastq",10806,10545,10182,8848
"ERR2969490.fastq",24079,23547,23029,19360
"ERR2969491.fastq",9722,9508,9264,8845
"ERR2969492.fastq",9868,9658,9477,8984
"ERR2969493.fastq",18327,17890,17363,15343
"ERR2969494.fastq",14318,13997,13527,12342
"ERR2969495.fastq",9107,8866,8613,7552
"ERR2969496.fastq",8077,7913,7810,6409
"ERR2969497.fastq",14251,13993,13643,13107
"ERR2969498.fastq",37306,36485,35349,30047
"ERR2969499.fastq",5180,5040,4930,3624
"ERR2969500.fastq",9380,9162,8973,8108
"ERR2969501.fastq",20308,19885,19536,15985
"ERR2969502.fastq",29857,29215,28128,23692
"ERR2969503.fastq",26482,25842,25433,22788
"ERR2969504.fastq",5727,5607,5482,5273
"ERR2969505.fastq",35664,34856,34373,25783
"ERR2969506.fastq",17083,16667,16405,13147
"ERR2969507.fastq",21019,20531,20078,16845
"ERR2969508.fastq",16864,16492,16123,12859
