run_accession	sample_title
ERR2969583	12021.EP.65.1
ERR2969586	12021.EP.66.3
ERR2969588	12021.EP.70.1
ERR2969592	12021.EP.72.1
ERR2969593	12021.EP.72.2
ERR2969596	12021.EP.73.1
ERR2969602	12021.EP.77.3
ERR2969603	12021.EP.9.1
ERR2969320	12021.BF.2.1
ERR2969322	12021.BF.2.3
ERR2969324	12021.BF.23.1
ERR2969326	12021.BF.23.3
ERR2969327	12021.BF.23.4
ERR2969328	12021.BF.24.1
ERR2969329	12021.BF.24.2
ERR2969330	12021.BF.24.3
ERR2969333	12021.BF.27.3
ERR2969341	12021.BF.32.3
ERR2969342	12021.BF.32.4
ERR2969348	12021.BF.35.2
ERR2969356	12021.BF.40.3b
ERR2969359	12021.BF.6.3
ERR2969360	12021.BF.7.1
ERR2969365	12021.BF.9.2
ERR2969368	12021.BP.10.2
ERR2969369	12021.BP.10.3
ERR2969370	12021.BP.10.4
ERR2969374	12021.BP.13.4
ERR2969379	12021.BP.22.1
ERR2969380	12021.BP.22.2
ERR2969381	12021.BP.22.3
ERR2969385	12021.BP.23.3
ERR2969391	12021.BP.31.2
ERR2969394	12021.BP.36.2
ERR2969402	12021.BP.4.3b
ERR2969406	12021.BP.8.3
ERR2969407	12021.BP.8.4
ERR2969416	12021.EF.12.3
ERR2969417	12021.EF.12.4
ERR2969419	12021.EF.13.2
ERR2969421	12021.EF.13.4
ERR2969429	12021.EF.3.1a
ERR2969438	12021.EF.34.2
ERR2969439	12021.EF.34.3
ERR2969441	12021.EF.41.1
ERR2969445	12021.EF.43.1
ERR2969447	12021.EF.43.3
ERR2969452	12021.EF.46.4
ERR2969454	12021.EF.47.2
ERR2969457	12021.EF.48.1
ERR2969458	12021.EF.48.2
ERR2969461	12021.EF.51.2
ERR2969465	12021.EF.54.2
ERR2969466	12021.EF.54.3
ERR2969469	12021.EF.55.2
ERR2969477	12021.EF.63.2
ERR2969478	12021.EF.63.3
ERR2969482	12021.EF.65.3
ERR2969484	12021.EF.66.2
ERR2969485	12021.EF.66.3
ERR2969488	12021.EF.7.2
ERR2969491	12021.EF.70.1
ERR2969492	12021.EF.70.2
ERR2969494	12021.EF.70.4
ERR2969495	12021.EF.72.1
ERR2969496	12021.EF.72.2
ERR2969497	12021.EF.72.3
ERR2969500	12021.EF.75.2
ERR2969501	12021.EF.75.3
ERR2969502	12021.EF.75.4
ERR2969503	12021.EF.79.1
ERR2969505	12021.EP.11.2
ERR2969508	12021.EP.12.1
ERR2969510	12021.EP.12.3
ERR2969524	12021.EP.23.2
ERR2969526	12021.EP.23.4
ERR2969527	12021.EP.25.1
ERR2969529	12021.EP.25.3
ERR2969531	12021.EP.27.1
ERR2969537	12021.EP.29.3
ERR2969540	12021.EP.33.2
ERR2969541	12021.EP.33.3
ERR2969542	12021.EP.33.4
ERR2969543	12021.EP.39.1
ERR2969547	12021.EP.44.1
ERR2969550	12021.EP.44.4
ERR2969552	12021.EP.45.2
ERR2969553	12021.EP.45.3
ERR2969554	12021.EP.45.4
ERR2969555	12021.EP.49.1
ERR2969560	12021.EP.51.2a
ERR2969571	12021.EP.58.1
ERR2969572	12021.EP.58.2
ERR2969573	12021.EP.58.3
ERR2969578	12021.EP.60.4
ERR2969582	12021.EP.64.4
ERR2969584	12021.EP.66.1
ERR2969585	12021.EP.66.2
ERR2969587	12021.EP.66.4
ERR2969589	12021.EP.70.2
ERR2969590	12021.EP.70.3
ERR2969595	12021.EP.72.4
ERR2969597	12021.EP.73.2
ERR2969598	12021.EP.73.3
ERR2969599	12021.EP.73.4
ERR2969600	12021.EP.77.1
ERR2969605	12021.EP.9.4
