,inchikey,hmdb,kegg,fingerprints
C05670_3-Aminopropionitrile,AGSPXMVUFBBBMO-UHFFFAOYSA-N,HMDB0004101,C05670,10000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000000010000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00041_Ala,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00565_Trimethylamine,GETQZCLCWQTVFV-UHFFFAOYSA-N,HMDB0000906,C00565,11000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00385_Xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,HMDB0000292,C00385,10000000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010001000000010000000010100100010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C06772_Diethanolamine,ZBCBWPMODOFKDW-UHFFFAOYSA-N,HMDB0004437,C06772,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000111000011000000000000110000000000000000000000010110000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000001000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02378_6-Aminohexanoate,SLXKOJJOQWFEFD-UHFFFAOYSA-N,HMDB0001901,C02378,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01020_6-Hydroxynicotinate,BLHCMGRVFXRYRN-UHFFFAOYSA-N,HMDB0002658,C01020,10000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110000000000110000011000000000000100000000000000100000000010110000000000001000000000100010000000001000100001110101100101100000000000100000000000000000000000001000000000000000000000000010000000100010000001000010000000000001001000000010000000010000000000000000000000000100000000000000000100000000000000000000000101001000000000000010001001000111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00152_Asn,DCXYFEDJOCDNAF-REOHCLBHSA-N,HMDB0000168,C00152,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000001100000000000000000000000100000000000000000001000001000000000000000000000000000000000000001001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00083_Malonyl CoA,LTYOQGRJFJAKNA-DVVLENMVSA-N,HMDB0001175,C00083,11110000011110111011111000000011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000100000100000000100000100000000000000000111000011100111001011101011100000110100001111111100010111111110011000001011100011000101010000100000100000111111100010111110010000010100000001000000000101101000100010001000010110000000000010101000010100001011010000101010000010000100000110101100000011110011010001100100001000000000111100100010000001000000011110011011000000010111100110000000000100000111100100011000000000010000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00106_Uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,HMDB0000300,C00106,10000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000010000000000000010110000000000000000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000010000000000010000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001011100100010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02155_Gly-Leu,DKEXFJVMVGETOO-LURJTMIESA-N,HMDB0000759,C02155,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000010010000000001000000000100000000101000100000000000000000001000001011000000000100100000000000000000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00246_Butyrate,FERIUCNNQQJTOY-UHFFFAOYSA-N,HMDB0000039,C00246,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00086_Urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,HMDB0000294,C00086,10000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00943_cIMP,DMJWGQPYNRPLGA-KQYNXXCUSA-N,,C00943,11000000011100111011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001001000100000000000000000000000000000000000000000000000000000001001000000000011000000000000000000000000001111000000000000100000000100000100000000000000000100000011100111000011001011000000110000001011011000000010111110011000001011100010000101010000100000100000111011100010111010010000000100000001000000000101101000101110001000010100000000000010101000010000001101010000101010001000000100000110101100000001010010000001100100000100000000111100100000010000000000011110000000000000010110100110000000001100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00122_Fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-N,HMDB0000134,C00122,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01096_Sorbitol 6-phosphate,GACTWZZMVMUKNG-SLPGGIOYSA-N,HMDB0005831,C01096,11000000011000000011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000000000000000000000000000000000001100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000010000000000000000000000000000000000100000000000000000001010000000000000000000000010000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"C02354_2',3'-cCMP",NMPZCCZXCOMSDQ-XVFCMESISA-N,HMDB0011691,C02354,11000000011100110011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100010010000000000000000000000001000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011100010000101010000100000000100010011001100111010010000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000110001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000100110000000000000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C07151_Metformin,XZWYZXLIPXDOLR-UHFFFAOYSA-N,HMDB0001921,C07151,11000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000100000000000000000000000000000000000000000000000000000000000000000100000000110000000000000011010000000000000000000000001000000000000000000000000000000010010000000000000000000000000000000001100000000000000000000000000000010000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00307_CDP-choline,RZZPDXZPRHQOCG-OJAKKHQRSA-N,HMDB0001413,C00307,11100000011100111011110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000110000000000000011010000000000011100010000101010000100000000100010011001100111010010000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000110001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000100110000000000000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C04677_AICAR,NOTGFIUVDGNKRI-UUOKFMHZSA-N,HMDB0001517,C04677,11000000011100111011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000100000000000000000100000011100111000011001011000000110000001011011000000010111010011000001011100010000101010000100000100000111011100010111010010000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000110101100000001010010000001100100000100000000111100100000010000000000011110000000000000010110100110000000001100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00475_Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,HMDB0000089,C00475,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011000000000101010000000000000100010011001100111010000000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000110001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000100110000000000000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00253_Nicotinate,PVNIIMVLHYAWGP-UHFFFAOYSA-N,HMDB0001488,C00253,10000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000000000000100000000000000000000000110000000000110000011001101000000100001111001000100010010010000010000001001000000000101010000000001000110000111101110100110000000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110110011011000000010000010011011111010110000001001010110010001100001000111000110001000011001101100000000000001110010001101100111000110100110000001000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00078_Trp,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001101110000110010010011000000010100010000011110010110000001001000110010001100001000110000000001000011001001001000000000000110010001100100000000111100110001101100111110010100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
C00630_Isobutyryl CoA,AEWHYWSPVRZHCT-NDZSKPAWSA-N,HMDB0001243,C00630,11110000011110111011111000000011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000100000100000000100000100000000000000000111100011100111001011101011100000110100001111111000010111111110011000001011100011000101010000100000100000111011100010111010010000010100000001000000000101101000100010001000010110000000000010101000010100001011010000101010000010000100000110101100000011010011000001100100001000000000111100100010000001000000011110001011000000010111100110000000000100000111100100011000000000010000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00881_2'-Deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,HMDB0000014,C00881,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011000000000101010000000000000100010011001100111010000000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000010001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000000110000000000000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00455_NMN,DAYLJWODMCOQEW-TURQNECASA-N,HMDB0000229,C00455,11000000011100110011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000100000000000000000110000010100111000011001101000000110001111001000000010010011010011000001011100010000101010000100001000110001011101110101010010000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110010011011000000010110011000011111010110000001101010110010001100011100110000110001000011001111000000000000000110110111100100111000110111110000011000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02595_2-Thiopheneacetate,SMJRBWINMFUUDS-UHFFFAOYSA-N,HMDB0029718,C02595,10000000011000000011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001101000000100000000000000100000000000000000000000100000000000100001001101000000000000101100000000100110000000000000000000001000001000100011000000000000100000110100100000100000000000000000110000000010000000001000000000100000010000010010001000100000011001000000000000000010001000000010000010000000110010101000000001010100010000100000000100000000000000001001001100000000000001001010001000100000000111100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C03618_threo-beta-methylaspartate,LXRUAYBIUSUULX-HRFVKAFMSA-N,,C03618,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000000000000000000000000000000100000000000000000001100001000000000000000000000000000000000000010000110000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02242_7-Methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,HMDB0000897,C02242,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001111011000000010111110011000001000000000000101010000000000100000111011100010111010000000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00197_3PG,OSJPPGNTCRNQQC-UWTATZPHSA-N,HMDB0000807,C00197,10000000010000000011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000000000100000000000000000000000001100010000000010000100000000000000100100000000100010000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000000100000000000000000000000000000000000100000000000000000000010010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01987_2-Aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,METPA0236,C01987,10000000011000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000100000001100100000011001000000000000001100001100011010000000010000000000001000000000100000000000000000100100010000100100000000000000100000100000000000000000001000000010001000000000000010001000100000000000000001110110110010001000000010100010011000100010100100101001000110010011100000000111000000000000011001001101000000010001000010001101100000000111100100000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000
C02918_1-Methylnicotinamide,LDHMAVIPBRSVRG-UHFFFAOYSA-O,HMDB0000699,C02918,11000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000110000000000110000011001101000000100001111101000000010010011010011000001000000000000101010000000001000110001011101110101010000000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110010011011000000010000010000011111010110000001101010110010001100001000010000110001000011000001000000000000000110010001100100111000110000110000000000100000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00127_Glutathione(ox),YPZRWBKMTBYPTK-BJDJZHNGSA-N,HMDB0003337,C00127,11110000011110111011110000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000000000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000010010000000001000000000100000000101000100000000000000000001000001011000000000100100000000000000000000100111000001011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02735_Phenylethanolamine,ULSIYEODSMZIPX-UHFFFAOYSA-N,HMDB0001065,C02735,11000000011100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000010100111000011001100000000110001100000000000010000000010000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000000000000000000010001000100010000000000000000000100010001000000010100011011000100010100000001001000100010001100000000111000000000000001001001101000000000001000010001001100000000111100100001100000010100000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00780_Serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,HMDB0000259,C00780,11000000011100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000001100110000011001111000000100001111001100011011110010110010011001001000000000101000000000001100110100011001110100010000000000100000101000000000100000001100010010001000100000000010001101100110100000001111100110110010011000000010000010011011100010110000101001000110010011100001000111000000001000011001001101000000010001110010001101100000000111101100001101000011110010000011101000000001000000000000010000000000000000000000100000000000000000000000001000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000
C02256_Castanospermine,JDVVGAQPNNXQDW-TVNFTVLESA-N,,C02256,11000000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000001111000000000000000000000100000000000000000000000100000111100111000011000000000000110000000000000000000000011000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000110001000000000010000000001000000000000000000001000100000000000000000001110000000000000000100100010000000000000001111100001111000010100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C09209_Harman,PSFDQSOCUJVVGF-UHFFFAOYSA-N,HMDB0035196,C09209,11000000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001111000100000000000000000000000000000000000000000000000000000001011000000000011111111000000000000000000001110000000000000100000000000000000000000000000000110000001000110000010001111000000100001111101100000011110010110010011001000000000000101000000000001100110100011001110100010000000000100000101000000000100100001100010001001000100000000010001101100100100000001110000111010010011000000010000110000011100010110000001001000110010001100101000010000000001000011000001001000000000000110010001100100000000111000100001000000011000000000011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
"C03030_2,4-Dihydroxypyrimidine-5-carboxylate",ZXYAAVBXHKCJJB-UHFFFAOYSA-N,,C03030,10000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110000000000110000011000000000000100000000010000100000000010110000000000001000000000100010000000001000000001110101100101100000000000100000000000000000000000000000000000000000000000000000000000000010000001000010000000000001000000100000000000010000001100000010000000000000000000000001000100000000000000000010100010011100100010000000000001000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00695_Cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
C06104_Adipate,WNLRTRBMVRJNCN-UHFFFAOYSA-N,HMDB0000448,C06104,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
