,F1,AUC,Case Acc,Ctrl Acc
0,0.8774961597542241,0.8566666666666667,0.88,0.833
1,0.9054221002059024,0.8869047619047619,0.917,0.857
2,0.9313978494623656,0.8571428571428572,1.0,0.714
3,0.9054221002059024,0.8869047619047619,0.917,0.857
4,0.8341520230921152,0.744047619047619,0.917,0.571
