,F1,AUC,Case Acc,Ctrl Acc
0,0.9059603990479566,0.8766666666666667,0.92,0.833
1,0.8709677419354839,0.8154761904761905,0.917,0.714
2,0.9381136044880786,0.9583333333333333,0.917,1.0
3,0.966830404618423,0.9285714285714286,1.0,0.857
4,0.9354838709677419,0.9077380952380953,0.958,0.857
