Compound,inchikey
Arabinose,SRBFZHDQGSBBOR-KLVWXMOXSA-N
Proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N
Glutamate,WHUUTDBJXJRKMK-VKHMYHEASA-N
Urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
Isovalerate,GWYFCOCPABKNJV-UHFFFAOYSA-N
"N,N-Dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N
Trimethylamine,GETQZCLCWQTVFV-UHFFFAOYSA-N
Acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N
Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N
Xylose,SRBFZHDQGSBBOR-IOVATXLUSA-N
Citrate,KRKNYBCHXYNGOX-UHFFFAOYSA-N
DL-methionine-sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
2-Oxoglutarate,KPGXRSRHYNQIFN-UHFFFAOYSA-N
Arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N
Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N
Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N
4-Hydroxyphenyllactate,JVGVDSSUAVXRDY-UHFFFAOYSA-N
Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N
Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N
Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N
Pyruvate,LCTONWCANYUPML-UHFFFAOYSA-N
Creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N
Isobutyrate,KQNPFQTWMSNSAP-UHFFFAOYSA-N
Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N
