Compound,high.confidence.annotation,hmdb,kegg,inchikey,fingerprints
Methionine,True,HMDB0000696,C00073,FFEARJCKVFRZRR-BYPYZUCNSA-N,11000000011000100011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000100000100000000000010000000000001000001000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000010000000000000000000010000001100000000000000000000000000000100000000000010000001000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2-Aminobutyrate,True,HMDB0000452,C02356,QWCKQJZIFLGMSD-VKHMYHEASA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2'-Deoxyuridine,True,HMDB0000012,C00526,MXHRCPNRJAMMIM-SHYZEUOFSA-N,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011110000000000011000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000000000000000010000000000001000000100000010001000000000010000000001000000000000000000011100100000000000000000011110001011100100010000000110000000011000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Propylene glycol,True,HMDB0001881,C02912,DNIAPMSPPWPWGF-GSVOUGTGSA-N,11000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3-Hydroxybutyrate,True,HMDB0000357,C01089,WHBMMWSBFZVSSR-GSVOUGTGSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010100000000000000000000000000000000000100000000000000000001010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ribose,True,HMDB0000283,C00121,HMFHBZSHGGEWLO-SOOFDHNKSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000000000100100000000000000000001010000000000000000000001110000000000000000110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Sarcosine,True,HMDB0000271,C00213,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Tyramine,True,HMDB0000306,C00483,DZGWFCGJZKJUFP-UHFFFAOYSA-N,11000000011100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000000100110000011001100000000100001100000000011010000000010000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100010000000000001100000100010001000000010000010011000100010100000101001000100010011100000000111000000000000001001001101000000010001000010001001100000000111100100001100000010000000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Desaminotyrosine,True,HMDB0002199,C01744,NMHMNPHRMNGLLB-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100000000001000001100000100010001000000010000010011000110010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100010001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Butyrate,True,HMDB0000039,C00246,FERIUCNNQQJTOY-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Betaine,True,HMDB0000043,C00719,KWIUHFFTVRNATP-UHFFFAOYSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000110000011000000000000100000000100000100000000011000000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ethyl-beta-D-glucuronide,True,HMDB0010325,,,
Pyroglutamate,True,HMDB0000267,C01879,ODHCTXKNWHHXJC-VKHMYHEASA-N,10000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000000100111000001011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
N-Carbamoyl-beta-alanine,True,HMDB0000026,C02642,JSJWCHRYRHKBBW-UHFFFAOYSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000010000100000000010110000000000001000000000000010000000000000000000100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001000010000000000000000000100000000000000000001000000000000000000000000000000001000100000000000000000000100001011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5-Aminopentanoate,True,HMDB0003355,C00431,JJMDCOVWQOJGCB-UHFFFAOYSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2' fucosyl lactose,True,HMDB0002098,,,
Phenol,True,HMDB0000228,C15584,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,10000000011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000100000000100100000001001000000000000001100000000011010000000000000000000001000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
p-Cresol,True,HMDB0001858,C01468,IWDCLRJOBJJRNH-UHFFFAOYSA-N,11000000011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100100000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000000000000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Tryptophan,True,HMDB0000929,C00078,QIVBCDIJIAJPQS-VIFPVBQESA-N,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001101110000110010010011000000010100010000011110010110000001001000110010001100001000110000000001000011001001001000000000000110010001100100000000111100110001101100111110010100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
N-Acetylglucosamine,True,HMDB0000215,C00140,OVRNDRQMDRJTHS-RTRLPJTCSA-N,11000000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111100011000000000000111000000100000100000000010110000000000011000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000100110001000000000010000000001000000000000000000001110100000000000000000001110001011000000000100101110000000000000001111100000111000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Histidine,True,HMDB0000177,C00135,HNDVDQJCIGZPNO-YFKPBYRVSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011001011000000100001011011001100000010110110010011001001000000000101010000000000100010100111101110110110000000000000000001000000000101101101100010001001010100000000000010101000110000001101110000111000000001000100000100110100000010010010000001101100100000001100101000100000000000000000011001001000000000010010000000100000000100000101111000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Fumarate,True,HMDB0000134,C00122,VZCYOOQTPOCHFL-OWOJBTEDSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Hypoxanthine,True,HMDB0000157,C00262,FDGQSTZJBFJUBT-UHFFFAOYSA-N,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6' sialyllactose,True,HMDB0006569,,,
2-Hydroxyisovalerate,True,HMDB0000407,,,
N-Acetylneuraminate,True,HMDB0000230,C00270,SQVRNKJHWKZAKO-LUWBGTNYSA-N,11100000011100100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000100000000010110000000000011000000000000010000000000000000001100100000001100000000010000000000000000000000000000000000000000000000000000000000000000010000001010010000000000000000000000100110001000000010010000000001000000000000100000001110100000000000000000001110001011000000000100101110000000000000001111110101111100110100111100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
myo-Inositol,True,HMDB0000211,C00137,CDAISMWEOUEBRE-GPIVLXJGSA-N,
3-Phenyllactate,True,HMDB0000779,C01479,RKUNBYITZUJHSG-SPUOUPEWSA-N,
Cadaverine,True,HMDB0002322,C01672,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,11000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3' fucosyl lactose,True,HMDB0002094,,,
"1,3-Dihydroxyacetone",True,HMDB0001882,C00184,RXKJFZQQPQGTFL-UHFFFAOYSA-N,10000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000100101000001000000000000010000000000000000000000000000000000000001000000000000010000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Dimethylamine,True,HMDB0000087,C00543,ROSDSFDQCJNGOL-UHFFFAOYSA-N,10000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000100000000000000000000000000000000000000000000000000000000000000000100000000100000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ethanolamine,True,HMDB0000149,C00189,HZAXFHJVJLSVMW-UHFFFAOYSA-N,10000000010000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000111000011000000000000110000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Indole-3-acetate,True,HMDB0000197,C00954,SEOVTRFCIGRIMH-UHFFFAOYSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000001000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001001110000110010010011000000010000010000011110010110000001001010110010001100001000110000000001000011001001101000000000001110010001100100000000111101111001101100111100011100111101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
Nicotinate,True,HMDB0001488,C00253,PVNIIMVLHYAWGP-UHFFFAOYSA-N,10000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000000000000100000000000000000000000110000000000110000011001101000000100001111001000100010010010000010000001001000000000101010000000001000110000111101110100110000000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110110011011000000010000010011011111010110000001001010110010001100001000111000110001000011001101100000000000001110010001101100111000110100110000001000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Valine,True,HMDB0000883,C00183,KZSNJWFQEVHDMF-BYPYZUCNSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Lactodifucotetraose,True,HMDB0006587,,,
O-Acetylcarnitine,True,HMDB0000201,C02571,RDHQFKQIGNGIED-MRVPVSSYSA-O,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000100000010100111000011000000000000110000000100000100000000011000000000000011000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000100000000000010100000000001000000000000000000001110100000000000000000001010010000000000000000100000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Phenylalanine,True,HMDB0000159,C00079,COLNVLDHVKWLRT-QMMMGPOBSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001100000000100001100000000100010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100010000001100000000000000010001000000010100010000000110010100000001001000100010001100000000110000000000000001001001001000000000000000010001000100000000111100110001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Lacto-N-fucopentaose I,True,HMDB0006705,,,
Galactose,True,HMDB0000143,C00984,WQZGKKKJIJFFOK-PHYPRBDBSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000000000100100000000000000000001010000000000000000000001110000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Serine,True,HMDB0000187,C00716,MTCFGRXMJLQNBG-UHFFFAOYSA-N,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Phenylacetate,True,HMDB0000209,C07086,WLJVXDMOQOGPHL-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000000100000001001100000000000001100000000100010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100000000001000000000000000010001000000010000010000000110010100000000001010100010000100000000110000000000000001001001100000000000001000010001000100000000111100010001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Threonine,True,HMDB0000167,C00188,AYFVYJQAPQTCCC-GBXIJSLDSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000010100000000000000000000000000000000000100000000000000000001010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Thymidine,True,HMDB0000273,C00214,IQFYYKKMVGJFEH-XLPZGREQSA-N,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110000010100111000011000000000000110000000110000000000000011110000000000011000000000100010000000001000000001010101100101000000000000100000000000000000000000000000000000000000000000000000000000000000000001000010000000000001000000100000010001000000000010000000001000000100000000000011100100000000000000000011110000011100100010000000110000000011000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Isopropanol,True,HMDB0000863,C01845,KFZMGEQAYNKOFK-UHFFFAOYSA-N,11000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Formate,True,HMDB0000142,C00058,BDAGIHXWWSANSR-UHFFFAOYSA-N,00000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000100000000000000000000000000000000000000000000000000000000011000000000000100000000000000000000000001000000000000010000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Lactose,True,HMDB0041627,C01970,GUBGYTABKSRVRQ-DCSYEGIMSA-N,11100000011100000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000001000100100000000000000000001010000000000000000000001110000000000000001110000000110000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
