Compound,inchikey,smiles
Carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
Indole-3-lactate,XGILAAMKEQUXLS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
Cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C1=C(NC(=O)N=C1)N
Lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,C(CCN)C[C@@H](C(=O)O)N
Methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@@H](C(=O)O)N
Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N
Threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O
Methylamine,BAVYZALUXZFZLV-UHFFFAOYSA-N,CN
Formate,BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O
Pyroglutamate,ODHCTXKNWHHXJC-VKHMYHEASA-N,C1CC(=O)N[C@@H]1C(=O)O
Acetate,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O
Proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1C[C@H](NC1)C(=O)O
Ethyl-beta-D-glucuronide,,
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO
Fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C(=C/C(=O)O)\C(=O)O
Lactose,GUBGYTABKSRVRQ-DCSYEGIMSA-N,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
N-Acetylneuraminate,SQVRNKJHWKZAKO-LUWBGTNYSA-N,CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
Isopropanol,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O
4-Hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)O)O
Glutamate,WHUUTDBJXJRKMK-VKHMYHEASA-N,C(CC(=O)O)[C@@H](C(=O)O)N
2-Hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,C(CC(=O)O)C(C(=O)O)O
Acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O
2'-Deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O
Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-]
5-Aminopentanoate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,C(CCN)CC(=O)O
Ascorbate,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,C(CCN)CCN
Glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O
N-Methylhydantoin,RHYBFKMFHLPQPH-UHFFFAOYSA-N,CN1CC(=O)NC1=O
